TRAJ,C1-C2,C2-C3,C3-C4,C4-C5,C5-C6,C6-C7,C7-C8,C8-C1,C6-H9,C7-H10,C8-H11,C1-H12,C5-H13,C5-H14,C4-H15,C4-H16,C3-H17,C3-H20,C2-H18,C2-H19,C8-C1-C2,C1-C2-C3,C2-C3-C4,C3-C4-C5,C4-C5-C6,C5-C6-C7,C6-C7-C8,C7-C8-C1,dih H9-C6-C7-H10,dih H11-C8-C1-H12
1,1.373320573841995,1.6263286874327514,1.5687665514955549,1.5189697119909336,1.6307115328233572,1.489468466892687,1.5400924454927838,1.4489898671563497,1.0595621117578586,1.1775938519997862,1.1954912919044594,1.1672253002309458,1.083344504412014,1.1084919809349303,0.9965194398758589,1.2494532763351218,1.4333206509946579,1.096273998993321,1.194975890199305,3.2968314810000727,94.56860375003869,104.94334674977856,112.75072481516361,110.831169270929,121.70655831722267,123.83187545557954,132.25241835435045,142.3455618191736,12.424762729448657,3.878214705165166
2,1.424588995472334,1.64464427703249,1.7127735378270907,1.683691809136953,1.5444684107825766,1.4334835786527498,1.7123081873064703,1.4913508386884102,0.9631963016283281,1.0865029088999454,1.095892464786919,0.983431282065005,1.1612342176040373,0.910026908679397,0.9820566504084761,1.1986117494253037,1.0729681143936165,1.122110799416719,1.0705673023945204,1.0313498967745751,109.24501419837067,117.34344213766563,100.82119347390136,110.04290774335107,122.09592244773135,121.32545396152314,125.5163045771818,48.31041317059798,57.35125059277593,35.329939548481185
3,1.611821651191954,1.4545955351511526,1.710260384562883,1.444928011202056,1.6429085936071899,1.558673919846455,1.4231249196192202,1.2796410181563524,1.0429627016220724,1.1904712703589897,1.1898118381707627,1.0574922122371095,1.2423173186926342,1.1576666343332753,1.2504431938454494,1.3203278608754936,1.2548008020528647,1.1638646444842502,1.1870168493877735,1.307547672771691,133.82995058806367,117.96849431245374,114.60680335880676,124.28619433958725,116.20551411953713,97.54570844551026,121.33273555123122,99.34967775749791,45.941388095899605,23.9136208071228
4,1.7734249274858949,1.4192011160412739,1.5799043331182328,1.6672111202415838,1.493041871871237,1.2666891946251893,1.5242072587640128,1.3924809251866062,1.1044180106771309,1.1293865318173846,1.0588595315971727,1.417561947777926,1.1271976031655067,1.116375113304348,1.1640873862669177,1.101718298188819,1.4237213132041866,1.1956808938778634,1.0184494060426168,1.1436560183177586,101.15091577404267,126.12527894684489,120.12206004920566,118.31275928973776,116.39427208081445,125.28157019492654,124.87353591299471,137.4038138381389,12.968548172942153,156.10176039827925
5,1.6690169898760083,1.5415684707462525,1.6736359039759976,1.5705089748516154,1.4809658081326187,1.4356922254878937,1.5067583637487352,1.4276322740664624,1.090136074605668,1.0353166998970975,1.153705775452117,1.070447653741795,1.2124509245319033,1.0921362118277718,1.043345421354123,1.1299493153321054,1.3293392385067602,1.0706731317502514,1.0341394918585272,1.0903182844523436,114.89159872629553,136.92461789707082,113.44324445079626,124.70192987277534,115.3295475738004,126.23931413700922,110.4150485118184,66.87849650292075,2.960237323703169,45.04595782823172
6,1.5972901627741907,1.571245944240647,1.4657164961264448,1.6368714866096366,1.5574187324843742,1.3687958354930772,1.4630731583898824,1.2967467151976146,1.2459711385356618,1.1550407832385061,1.1690817729381129,1.0348871599032936,1.0826250659788763,1.146141931304963,1.0620348163304316,1.1311685334131427,1.067439953112442,0.9857104641171034,1.04820536695049,1.3147469814967092,120.31121813677038,112.35202676679059,104.15854897255592,114.13686576373294,114.68129166493898,128.70306945840034,132.14702673225182,122.13964228029897,107.56886519597799,31.750422531757234
7,1.6188483211279534,1.5238285687122262,1.7796953398691633,1.4205514807165374,1.389091707443374,1.4618644721428766,1.3824273213210103,1.344303922046146,1.2704227327832847,1.1585920260332183,0.9801955080585459,1.188656359058569,1.1008458358537314,1.1241221940473485,1.2759431105571224,1.2555019098950109,1.0402019117668566,1.0033121050547331,1.102470136328239,1.036478318759169,119.11805198456045,119.25761523125551,109.8601998656132,113.8301861617536,119.69760755503302,116.79941660111206,135.71905284958277,119.3153958220231,103.17264338878114,35.35258745477605
8,1.4959052716031178,1.608775439522365,1.5324114489030798,1.5579741823305553,1.6674775098470924,1.3281645186332307,1.495718199399813,1.3371470539701797,1.1228739438597224,1.0749796217632683,1.1468522041806992,1.0939412465016478,1.3834159721569448,0.9986953895208045,1.1144862168244816,1.0691303921754256,1.20520401110812,1.1356185834525667,1.0808881777237802,1.1978892971972857,129.6992759017111,107.90440470415564,117.62879437783751,114.0350947526571,127.33766581894548,136.2030459119435,84.2465268005927,115.3586203590875,40.715976316546545,2.038012947757074
9,1.5737172206275178,1.4799599197934619,1.5713403841995994,1.587397493846159,1.6180215999885834,1.4693061839011619,1.4232661717305075,1.5513326796869034,1.2069371546690872,1.1098603819902708,1.1025992574009493,1.1236580469378452,1.041142781772568,1.071100132902112,1.0638650426722864,0.9839609578775111,1.2367864492618412,1.2243652474321416,1.135197685831225,1.0993075245060795,121.1054448757552,113.64997818243464,126.09510214400942,107.31795325518685,118.57112217764086,138.5595070527648,99.95181500634455,118.26150989850075,44.798786629373105,0.8736793245519631
10,1.5552319526460552,1.653373954504577,1.4648273862824086,1.5007488318455162,1.383628711153854,1.4941631038265455,1.5106579148385675,1.367864785261758,1.064218066138014,1.1050756678415272,1.0114978651585844,1.1183060942489427,1.1077997991448998,1.1560860488868236,1.0675936019898542,1.1191011959563173,1.3390661559480745,1.0645029833241555,1.0700503891608097,1.253451845140642,130.06884330075238,130.25688553579627,114.53315111740004,109.65015998340404,114.79149068190696,110.64918573520835,88.20006845224461,145.16352735792992,48.76805299116004,20.542058430918026
