TRAJ,C1-C2,C2-C3,C3-C4,C4-C5,C5-C6,C6-C1,C6-C1-C2,C1-C2-C3,C2-C3-C4,C3-C4-C5,C4-C5-C6,C5-C6-C1,dih H7-C1-C2-H8,dih H9-C3-C4-H10,dih C4-C5-C6-C1
1,1.4022491849105243,1.4533450956997822,1.329951079110398,1.4375793977536298,1.5579214566447892,1.4882733892481483,121.6951372213722,117.92707114562926,118.61930679446712,121.35547282398713,115.33081036511453,109.31121429053611,23.164577891804445,1.2499039037039064,38.86541101232244
2,1.3363382348529385,1.507916056340251,1.4278917023791595,1.474875807129538,1.5625203892492239,1.5259884014574274,120.54257580837506,119.27431025161574,122.3633684684694,116.96821220565347,115.59213212591249,113.5687119755209,15.03952947738471,25.059005631902995,38.56517148880652
3,1.355872826385951,1.44387375739933,1.3541252625200213,1.522435941510866,1.5181304407340561,1.5732816378726222,116.97720112733715,121.00961470636443,120.78095864953016,121.31030338299597,109.10862253317237,114.72654528985558,6.846001381946125,15.826556779261514,43.03027353873602
4,1.3102337734717349,1.488594807474717,1.3396133012489702,1.552124253039573,1.6187211283890013,1.463589017535054,122.29876371798548,121.52330617609574,120.24087549984775,121.43944343813874,108.96922385993854,112.28405621743077,6.304869415219042,11.364694712592732,39.97877522468871
5,1.3249822774523028,1.4802803031183478,1.347691541168186,1.4635847648959999,1.5622383765067653,1.481493045660309,128.64462882147018,114.81795159622179,123.1401558821933,121.14278894529437,115.58434825074588,109.8981514144924,2.9649665771217415,8.760452229149944,28.884993460452446
6,1.3513999119552664,1.4396816853017755,1.397111810028332,1.6245937130230337,1.4712617962556735,1.5109290775127318,122.0028279376145,116.66799079359691,125.83571982567287,118.37616378328822,110.14800467307052,120.59364201475134,10.255736994414796,5.8592575638524345,25.183180775570115
7,1.3239329110503921,1.4976728119354923,1.4356659864259902,1.6396890452090664,1.5601129726917387,1.4666167574708115,118.59930365873207,125.39797528437062,114.67242041496307,119.84975029283808,108.52885963275853,115.54339859357594,14.302197923131377,5.423701757607951,43.47369655632929
8,1.3972721983805902,1.3989409323875968,1.2879610570819382,1.5604799021627977,1.5990158450704515,1.4617649955408052,125.60537177857289,117.1027595489556,120.34165437329328,121.99107793655641,110.40523317016198,107.1903268761283,6.210824241110948,3.3215315452934058,40.46129524075737
9,1.3673067219826762,1.542046355027553,1.3078966041458548,1.5222150192187285,1.6251756173683856,1.4619886717063888,123.54385729851785,115.96549746470502,121.42216825081822,121.63764612334846,110.28594418251555,110.73804982796787,18.60075599658823,3.698217682113191,43.237449565469305
10,1.3805609276989554,1.4254096589459648,1.3692371545634137,1.5162473485542198,1.5833440995177739,1.6321808767079617,116.76491786554085,123.45996229051757,117.29249258071525,122.20948170443306,111.75434351480898,105.55751273106362,13.236472866348988,3.277120269820934,49.18415726531073
