TRAJ,C1-C2,C2-C3,C3-C4,C4-C5,C5-C6,C6-C7,C7-C8,C8-C1,C8-C1-C2,C1-C2-C3,C2-C3-C4,C3-C4-C5,C4-C5-C6,C5-C6-C7,C6-C7-C8,C7-C8-C1,dih H9-C6-C7-H10,dih H11-C8-C1-H12
1,1.373320573841995,1.6263286874327514,1.5687665514955549,1.5189697119909336,1.6307115328233572,1.489468466892687,1.5400924454927838,1.4489898671563497,94.56860375003869,104.94334674977856,112.75072481516361,110.831169270929,121.70655831722267,123.83187545557954,132.25241835435045,142.3455618191736,12.424762729448657,3.878214705165166
2,1.424588995472334,1.64464427703249,1.7127735378270907,1.683691809136953,1.5444684107825766,1.4334835786527498,1.7123081873064703,1.4913508386884102,109.24501419837067,117.34344213766563,100.82119347390136,110.04290774335107,122.09592244773135,121.32545396152314,125.5163045771818,48.31041317059798,57.35125059277593,35.329939548481185
3,1.611821651191954,1.4545955351511526,1.710260384562883,1.444928011202056,1.6429085936071899,1.558673919846455,1.4231249196192202,1.2796410181563524,133.82995058806367,117.96849431245374,114.60680335880676,124.28619433958725,116.20551411953713,97.54570844551026,121.33273555123122,99.34967775749791,45.941388095899605,23.9136208071228
4,1.7734249274858949,1.4192011160412739,1.5799043331182328,1.6672111202415838,1.493041871871237,1.2666891946251893,1.5242072587640128,1.3924809251866062,101.15091577404267,126.12527894684489,120.12206004920566,118.31275928973776,116.39427208081445,125.28157019492654,124.87353591299471,137.4038138381389,12.968548172942153,156.10176039827925
5,1.6690169898760083,1.5415684707462525,1.6736359039759976,1.5705089748516154,1.4809658081326187,1.4356922254878937,1.5067583637487352,1.4276322740664624,114.89159872629553,136.92461789707082,113.44324445079626,124.70192987277534,115.3295475738004,126.23931413700922,110.4150485118184,66.87849650292075,2.960237323703169,45.04595782823172
6,1.5972901627741907,1.571245944240647,1.4657164961264448,1.6368714866096366,1.5574187324843742,1.3687958354930772,1.4630731583898824,1.2967467151976146,120.31121813677038,112.35202676679059,104.15854897255592,114.13686576373294,114.68129166493898,128.70306945840034,132.14702673225182,122.13964228029897,107.56886519597799,31.750422531757234
7,1.6188483211279534,1.5238285687122262,1.7796953398691633,1.4205514807165374,1.389091707443374,1.4618644721428766,1.3824273213210103,1.344303922046146,119.11805198456045,119.25761523125551,109.8601998656132,113.8301861617536,119.69760755503302,116.79941660111206,135.71905284958277,119.3153958220231,103.17264338878114,35.35258745477605
8,1.4959052716031178,1.608775439522365,1.5324114489030798,1.5579741823305553,1.6674775098470924,1.3281645186332307,1.495718199399813,1.3371470539701797,129.6992759017111,107.90440470415564,117.62879437783751,114.0350947526571,127.33766581894548,136.2030459119435,84.2465268005927,115.3586203590875,40.715976316546545,2.038012947757074
9,1.5737172206275178,1.4799599197934619,1.5713403841995994,1.587397493846159,1.6180215999885834,1.4693061839011619,1.4232661717305075,1.5513326796869034,121.1054448757552,113.64997818243464,126.09510214400942,107.31795325518685,118.57112217764086,138.5595070527648,99.95181500634455,118.26150989850075,44.798786629373105,0.8736793245519631
10,1.5552319526460552,1.653373954504577,1.4648273862824086,1.5007488318455162,1.383628711153854,1.4941631038265455,1.5106579148385675,1.367864785261758,130.06884330075238,130.25688553579627,114.53315111740004,109.65015998340404,114.79149068190696,110.64918573520835,88.20006845224461,145.16352735792992,48.76805299116004,20.542058430918026
11,1.6114905743123302,1.618477900877446,1.3984977746785705,1.6734515250569213,1.5605158850879997,1.5850902799323094,1.8276628208610166,1.3653821183731014,132.0748818778926,110.36720225829681,113.01788367634559,123.70479122379719,117.14624825476604,124.25456408959096,80.13639380680324,111.57445888816395,55.15534856750278,15.674675158410814
13,1.533378949982313,1.8247532919643399,1.6000043325570024,1.6765798130612126,1.5190713726043648,1.356609486124649,1.5889155764480343,1.2838007047223836,124.56708638323742,116.67659629809451,109.40899651791645,117.39599488711248,116.4942075441374,129.6035802359049,119.85011421093148,139.17317068439579,125.0099570642316,0.4109961084283499
15,1.4967341087647335,1.627080996511985,1.5300484742402867,1.5179247177190673,1.5093985119650444,1.45890483952402,1.5873645653902178,1.44282117247622,133.6099122092557,119.64835989405915,126.80680499422563,114.593595662903,98.26088880289413,129.61334755100327,131.1364943896322,111.85410887584902,65.45272482893961,14.616863897005214
19,1.7039081579755984,1.4905745627540417,1.4467103716882599,1.4595474113178333,1.5938091123052893,1.442687545498307,1.5312254102728442,1.3134503184012833,107.11063716135448,112.5038289784845,115.70764600245356,118.61686720161498,122.26681213830075,125.67274393622452,119.23970020781128,139.21672046318437,106.77014816649827,24.965125291353093
22,1.5495566260581433,1.5162965998563387,1.5742135829468096,1.5887446706600405,1.5982827628601857,1.3208461584276265,1.625204275363013,1.4260673926640184,164.16876928637112,107.60394986669944,125.6026955595832,121.52461625338437,103.22608765585514,134.80216800017018,111.00947197158663,109.19247053557397,5.399259642976749,92.02299749289561
23,1.6060200902471549,1.5016474334188168,1.5865066897459543,1.5312296771627751,1.3934330208691839,1.3980107249683438,1.40675278082678,1.3587073495154063,131.26159217123808,129.01255719489765,115.39633829169938,119.38403088286303,126.52131808061243,122.27938935482217,99.51939551438117,138.32704476289527,29.823697537204193,48.93404604449619
24,1.5458552250857387,1.5652374211773485,1.5834545565675988,1.425401102712215,1.6989310809484903,1.5002898772796505,1.3932682458409094,1.430668197818599,133.05786271064733,123.34503029625829,117.18856971286475,116.98721151679919,117.24127599451924,116.93141691685571,88.94312110289896,143.24525438989195,37.14855381517938,25.795420625901382
26,1.6522647651111253,1.4924765480621747,1.5651584152118494,1.6097847172998212,1.40508096238416,1.571723585207812,1.4152656346084285,1.3116330270110672,129.42791468824637,107.12889861056652,120.07817867500731,113.94168896788207,109.50355584814656,112.84851413726913,131.11754365370862,123.02163540194398,105.49308309352472,21.15015001718028
28,1.496180339164444,1.5309787582078291,1.6621058865562022,1.7706762871168433,1.5615840021810752,1.4184668963863387,1.5775134194286156,1.3280044186170856,117.68312403821474,128.08277199348504,135.6809637014188,127.60240601990823,106.0827547100186,113.21553955990044,118.02100769804511,134.2450756355152,84.75360584783175,19.461175102458057
29,1.4739736337736473,1.53700997902533,1.5534449765722718,1.6948661448800284,1.447789994836626,1.287940386233516,1.4851035443148999,1.436790907023607,120.55505840602476,141.94762361956955,124.81878873118835,106.04536526158545,113.56231609233268,112.4695423513214,131.5515205025452,115.2108221590439,10.124544576271054,102.31106625831872
