TRAJ,C1-C2,C2-C3,C3-C4,C4-C5,C5-C6,C6-C7,C7-C8,C8-C1,C8-C1-C2,C1-C2-C3,C2-C3-C4,C3-C4-C5,C4-C5-C6,C5-C6-C7,C6-C7-C8,C7-C8-C1,dih H9-C6-C7-H10,dih H11-C8-C1-H12
1,1.551257565043609,1.5439106806705696,1.5316262831538348,1.5271161103512965,1.552445787276702,1.3094876970009863,1.5603608482565285,1.3778988643041585,136.88187123311806,114.5487890918974,117.06502087649461,117.63240413994036,115.15099595003976,126.78322868323922,125.05876950963093,115.59754561525192,3.285798425145507,41.656519701375494
2,1.6246944544366728,1.4237301573120318,1.5916057142321576,1.4150980460422684,1.4924921880292725,1.354035619947069,1.5415074577051262,1.390989378823709,129.1004471346588,113.17329530129616,119.88900879440243,116.61444505180252,117.45824252366079,123.43697953153004,126.13473486411701,120.48850268280226,8.552037162304797,2.9891683763624854
3,1.375905966947454,1.6693114916716147,1.4300113002251011,1.7048970494019915,1.4899605802222338,1.1607052258300634,1.3658533991314457,1.2997530325213529,124.00077779210105,126.5529920655418,110.55566240005106,111.65416540563977,111.46199488716249,131.8366027293201,125.08860746642311,124.99974061470398,9.810597830979379,27.574856325097095
4,1.5397653077307982,1.5668355598470192,1.5998013099241166,1.498411251852427,1.459443339466976,1.4976978178203009,1.512973632876538,1.4026584439510283,123.2174433814378,116.25182817992945,113.54521307574161,121.82143963997297,118.53506701621227,122.58049200691788,127.16385113901954,130.16478209289363,1.033154039330117,1.469874539951858
5,1.4869533274999622,1.496991302622886,1.5318318791243557,1.6399401245299796,1.4326844691059664,1.3806588223364065,1.3950323120507553,1.2689932055229471,122.07907036031023,122.25801295196871,112.63673424941285,109.81657620710362,116.24697528552036,130.20846101909848,123.34447876237672,129.1819107669048,6.1014397390968265,0.48329950548484374
6,1.4695163361369878,1.5052468398582641,1.6104596874768182,1.5306442154290711,1.6260666273359918,1.2314160926642104,1.318607480017414,1.3389347644854817,124.01604158482682,114.70901078639588,118.01621391706928,106.63171212782213,116.51896324844117,132.8745113334733,125.84352702518395,131.04074966127527,13.284844754353651,5.129366151205701
7,1.5948365315763424,1.6404861527026144,1.5157659018342207,1.5430363897987296,1.4875515803541177,1.2280545384209245,1.4482059095798874,1.3839077465376144,127.05967582953194,115.93804234660912,116.97011496972824,120.63328074677848,118.74084846519821,123.9412720790115,134.2352681780466,122.4266587289732,9.764444557379926,17.459975647882477
8,1.5068516853797798,1.5171457028955746,1.524982366721036,1.462863653559231,1.5296432459233262,1.3968650236852633,1.6653172268085923,1.3924703434312011,129.49016515974344,122.17683963303733,111.03279581751835,129.5525573392045,116.88016734928449,126.28042076829335,125.33026977978979,120.865303365226,16.872378501692246,9.97844189043065
9,1.4977327268542726,1.6122186099359324,1.545595900377065,1.6805128550935113,1.3053810883947616,1.5331686761075647,1.5186097448734812,1.3633715750399233,131.48444666741045,116.73692760706291,117.32817243381609,119.389849064107,120.8170575566544,127.7175405556962,123.49629675672671,123.65665504709897,12.595951873545213,13.86536700612293
10,1.4670004811437025,1.5995781092744261,1.4568191946122737,1.584303911141105,1.5046406621288726,1.2950106338301457,1.4492045872307706,1.4445728334079584,130.3798479596027,114.93041556610491,122.11996889752704,115.37965154020405,115.29413800875705,128.00412190520683,125.33145388650098,118.46641487755457,8.570840158726723,17.38594541650457
11,1.4281984706961206,1.6734962585152933,1.5600260444379261,1.6385096249623763,1.532559141931677,1.2992462235814448,1.3985862300655674,1.2306390300949368,115.36016488529977,120.86361771472981,111.95630004475784,111.34665589596752,123.42528138892901,128.63225640455067,121.78906160089822,141.60716700966876,3.8202068263255313,3.745628121944684
12,1.6585925300467392,1.561773100095876,1.617430902217224,1.4785971849334032,1.5062381887385599,1.3019029062934406,1.4541770660374354,1.3266355028484034,120.12206895099335,118.0380057358081,112.56072752986717,120.66597283391688,116.03819599410214,131.7702863325312,125.74169160541341,127.5838688138534,5.9054419073403075,5.053722286518698
13,1.4070506671756873,1.462514158580859,1.5665705049192786,1.3765492730721072,1.584553432878915,1.5949232553649393,1.402062323745165,1.4063714161875651,139.59110083321923,115.39938285273169,124.59543061691609,115.85771568078762,107.56971496963646,126.55404761741138,119.48225742744059,123.01664056052039,11.063404745546753,10.16946847672976
14,1.617684485415633,1.6757303581692637,1.5023604326108764,1.5074730128334555,1.5521950186504256,1.4577359538384884,1.4837384735288326,1.4482435194547498,125.06543044222823,105.62080514102209,126.96113350253664,114.58619976873072,118.76544553697553,120.23724001621517,127.09792405612545,129.66684362699243,5.8420095471701705,3.2584080195494702
15,1.569472014803077,1.5749186750205781,1.5148403437580025,1.524237847132918,1.4904754868871433,1.3076607942625416,1.4913908740321657,1.4278438280822487,129.3065334632884,109.5098458418242,116.49776807582954,111.93951140349486,117.95526490858721,122.56462499595047,130.4609016475681,119.67707620128533,2.845636602887529,11.02215514493419
16,1.4394273145622083,1.4731578864935264,1.5009239384689264,1.617638797153534,1.5967921417336093,1.2978767129542002,1.4552249691065091,1.324352194899711,129.37431960304846,121.60439116951004,113.65007969673998,109.75650483188444,111.84789044739982,126.78936494138475,127.45509759573604,122.54437105762332,1.2656947999618045,7.1966448632626365
17,1.4613136360969088,1.4783438271004534,1.6235299793457463,1.504971577347227,1.5016808559275232,1.4352068584866047,1.4610444803573752,1.3836892613211251,136.7179148561585,116.81044739404064,112.95155405467696,116.83389328637895,115.75913267924085,125.64339372442147,126.25646421741604,115.56502016898163,22.849233107867413,18.10884762901685
18,1.603932085782881,1.6504062642571546,1.4566092913068913,1.629084155551368,1.4488668318354272,1.2573307529814193,1.6350302114605308,1.2831854566183134,127.47141945596543,112.13750136519181,117.81463357678862,112.10704916667265,114.74795940171877,124.52229789321437,126.1874156247091,121.36142656543379,10.994540780424597,11.586721475998033
19,1.4022277710306994,1.5158327555896658,1.4753647337760707,1.6845183101272019,1.4672024373254482,1.4029060701659064,1.379102214128805,1.348090552627272,126.75709781785389,116.42679222430525,109.57108982012237,107.08730410334509,115.17122919424331,123.88098032048549,124.45369347561585,125.05714149107517,12.069353057348755,9.240759166679089
20,1.4082593606295484,1.5361349788278942,1.5639411449336116,1.511940771296403,1.6165373151300955,1.2888443967665815,1.4413287291384305,1.3521183816665145,130.40638200309732,117.18539962988248,114.00922934002797,108.01274588291622,112.47337166245156,123.30514126688593,129.491889752244,125.87746080533722,8.269570203648481,10.874526550382342
21,1.4979917449701126,1.5399070262436925,1.5592894155886472,1.5973829653809988,1.5818081153810333,1.4337218972992936,1.4719422881987043,1.2509768801810444,131.1369140324264,116.9676593385393,112.45636991871352,113.71162925759509,115.04357935752493,120.20313526480871,127.54085596958934,125.90295003118091,14.51175837820472,10.016841604643147
22,1.553796258957919,1.579860186982561,1.6154382514125432,1.3921009866654144,1.6110590325069398,1.410756061387466,1.3577102661509421,1.391212674199314,128.6247235761569,110.8820290369264,117.23655655000961,115.33516061379021,118.92670429146565,125.6095829860712,127.88257028836432,126.39929974171456,17.28644467819732,5.917378222831682
23,1.4677620040915853,1.6370260099829221,1.437418777155595,1.5266362178466633,1.4986635953127798,1.2846047149076982,1.5063656926567217,1.4029129431638339,124.27024757416716,114.96441168208986,113.83978251197446,116.14146648812411,111.47353741172535,126.08820490337054,125.65863540834596,124.80065454876328,7.558769350069695,5.258474930342846
24,1.5370590767713035,1.4440352165669466,1.5413128242673715,1.6519272268587426,1.4938864231592117,1.2648470616653174,1.4420503533482059,1.2623991475548728,121.99056563475862,115.52469607827774,114.88595112408997,104.77081814588395,116.26846807112506,132.07741000458597,120.04106623110494,130.62644252972152,6.808810425772162,4.146002682625425
25,1.6561934035988197,1.543328789017862,1.5622334436520928,1.5889114402924507,1.3976836972992295,1.3219936621280677,1.5539839517487446,1.338385192271729,119.40023115276124,114.06352173370831,118.97285639634681,113.35089471235942,117.83801416631678,120.2058320575796,126.61707397535497,130.7046680816729,2.114771023664722,6.502381414016042
26,1.431283744570931,1.6333927929782843,1.491901100473192,1.5340775868044132,1.4435396026291973,1.4063046680888667,1.539308107884912,1.3622647100315333,130.3216330874099,113.38022985744769,110.32775014071379,116.39102594504197,118.18324654352992,130.18631920784355,117.3778551455332,122.56777140021869,10.024923142962676,11.225685372731267
